id,verification_status,owner_id,created_by,customer_id,property_type,property_category,district_id,municipal_id,province_id,city,seeking_address,property_face,build_date,layout,property_area,area_unit,parking_space,car_parking,bike_parking,compound,road_size,road_type,minimum_budget,minimum_budget_unit,maximum_budget,maximum_budget_unit,delete,status,agreement_image,created_at,updated_at,property_remarks,address_remarks,ward_num,map_url,amenities,share_map_url,verification_note
1,pending,3,3,10,HOUSE,RESIDENTIAL,70,,,,Parsyang/Ranipauwa/MAtepani/Bhadrakali/Fulbari,SOUTH,,1R,0,HAAT,YES,1,3,YES,,,2,CRORE,170,LAKHS,1,ACTIVE,,2024-08-09T10:07:44.000Z,2024-08-09T11:54:04.000Z,,,,,,,
2,pending,3,3,11,LAND,RESIDENTIAL,38,,4,Pokhara,bhadrakali/miyapatan/lamodahar/bajapatan,,2072,,4.5-5,AANA,YES,1,,,,,0,LAKHS,0,LAKHS,1,ACTIVE,,2024-08-09T10:11:15.000Z,2024-10-08T06:41:25.000Z,,,,,,,
3,pending,3,3,12,LAND,,70,,,,Parsyang/Ranipauwa/MAtepani/Bhadrakali/ Fulbari,,,,0,AANA,NO,,,,,,1,CRORE,1.5,CRORE,0,ACTIVE,,2024-08-09T10:14:01.000Z,2026-02-04T06:12:37.000Z,,,,,,,
7,pending,3,3,53,LAND,RESIDENTIAL,70,,,,Bijayapur/Fulbari,,,,20/40,HAAT,,,,,,,1,CRORE,1.2,CRORE,1,ACTIVE,,2024-08-12T11:49:10.000Z,2025-03-11T06:58:55.000Z,,,,,,,
8,pending,3,3,54,LAND,RESIDENTIAL,38,224,,po,Gharipatan,,,,0,HAAT,,,,,,,70,LAKHS,80,LAKHS,1,ACTIVE,,2024-08-12T11:51:33.000Z,2025-03-23T07:54:47.000Z,,Near Eye Hospital,17,,,,
9,pending,3,3,56,LAND,,38,,4,Pokhara,Amarsingh Bhadrakali or Nayagaun,,,,0,HAAT,NO,,,,,,1.2,CRORE,1.4,CRORE,1,ACTIVE,,2024-08-12T11:56:15.000Z,2024-10-08T06:42:24.000Z,,,,,,,
10,pending,3,3,57,LAND,,,,,,Around Tal Barahi School,,,,4-5,AANA,,,,,,,180,LAKHS,2,CRORE,1,ACTIVE,,2024-08-12T11:58:56.000Z,2024-08-12T11:58:56.000Z,,,,,,,
11,pending,3,3,59,LAND,,,,,,Sangam Tole/ Chauthe,,,,no mentioned,HAAT,,,,,,,80,LAKHS,85,LAKHS,1,ACTIVE,,2024-08-12T12:11:14.000Z,2024-08-12T12:11:14.000Z,,,,,,,
12,pending,3,3,60,LAND,,38,,,Pokhara,Nadipur/ Aarchalbot /Fulbari,,,,20/40,HAAT,YES,,,,,,1.7,CRORE,1.8,CRORE,1,ACTIVE,,2024-08-12T12:17:10.000Z,2024-10-08T06:43:53.000Z,,,,,,,
13,pending,3,3,110,HOUSE,RESIDENTIAL,38,,,,Fulbari/Nayagaun/Chindada/Milantole/Chauthe/Bhadrakali,SOUTH-EAST,2070,WHOLE_HOUSE,5,AANA,,,,,,,130,CRORE,150,CRORE,1,ACTIVE,,2024-08-18T09:14:23.000Z,2024-08-18T09:14:23.000Z,,,,,,,
14,pending,3,3,111,HOUSE,COMMERCIAL,38,,,,Prithivichowk Woripari,,,WHOLE_HOUSE,0,AANA,YES,,,,,,2,CRORE,10,CRORE,1,ACTIVE,,2024-08-18T09:16:07.000Z,2024-08-18T09:16:07.000Z,,,,,,,
15,pending,3,3,61,HOUSE,,,,,,Malepatan area,,,1R,0,HAAT,YES,,,,,,1,CRORE,1.2,CRORE,1,ACTIVE,,2024-08-18T09:17:21.000Z,2024-08-18T09:17:21.000Z,,,,,,,
16,pending,3,3,175,HOUSE,RESIDENTIAL,38,,,,Malepatan /Fulbari,,,1R,1,HAAT,YES,,,,,,85,LAKHS,1,CRORE,1,ACTIVE,,2024-08-20T07:55:13.000Z,2024-08-20T07:55:13.000Z,,,,,,,
17,pending,3,3,181,HOUSE,RESIDENTIAL,38,,,,Sishuwa Talchok/Bijayapur,,,1R,1,HAAT,YES,,,,,,95,LAKHS,1,CRORE,1,ACTIVE,,2024-08-20T07:56:19.000Z,2024-08-20T07:56:19.000Z,,,,,,,
18,pending,3,3,12,HOUSE,,,,,,Parsyang/Ranipauwa,,,1R,1,HAAT,YES,,,,,,1,CRORE,1.5,CRORE,1,ACTIVE,,2024-08-20T07:57:29.000Z,2024-08-20T07:57:29.000Z,,,,,,,
19,pending,3,3,11,HOUSE,,,,,,bhadrakali/miyapatan/lamodahar/bajapatan,,,1R,5,AANA,YES,,,,,,1,CRORE,2,CRORE,1,ACTIVE,,2024-08-20T07:58:31.000Z,2024-08-20T07:58:31.000Z,,,,,,,
20,pending,3,3,180,HOUSE,,,,,,Lakeside Gairikhet/Damside,,,1R,5,AANA,YES,,,,,,2,CRORE,2,CRORE,1,ACTIVE,,2024-08-20T08:03:39.000Z,2024-08-20T08:03:39.000Z,,,,,,,
21,pending,3,3,179,HOUSE,RESIDENTIAL,38,,,,Birauta Chhorepatan,,,1R,4,AANA,NO,,,,,,70,LAKHS,80,LAKHS,1,ACTIVE,,2024-08-20T08:05:34.000Z,2024-08-20T08:05:34.000Z,,,,,,,
22,pending,3,3,178,HOUSE,RESIDENTIAL,38,,,,Zero / Amarsingh/Ranipauwa /Parsyang,,,1R,0,HAAT,,,,,,,1.5,CRORE,2,CRORE,1,ACTIVE,,2024-08-20T08:06:57.000Z,2024-08-20T08:06:57.000Z,,,,,,,
23,pending,3,3,176,HOUSE,,,,,,fulbari/CTEVT/Ranipauwa,,,1R,1,HAAT,,,,,,,1.3,CRORE,150,CRORE,1,ACTIVE,,2024-08-20T08:27:19.000Z,2024-08-20T08:27:19.000Z,,,,,,,
24,pending,3,3,182,HOUSE,RESIDENTIAL,,,,,Ranipauwa/Fulbari,,,1R,18/40,HAAT,YES,,,,,,250,CRORE,250,CRORE,1,ACTIVE,,2024-08-20T08:28:38.000Z,2024-08-20T08:28:38.000Z,,,,,,,
25,pending,3,3,174,HOUSE,RESIDENTIAL,,,,,pokhara,,,1R,0,HAAT,NO,,,,,,0,LAKHS,1,LAKHS,1,ACTIVE,,2024-08-20T09:25:46.000Z,2024-08-20T09:25:46.000Z,,,,,,,
26,pending,3,3,173,HOUSE,,38,,,,Fulbari /Parsyang/Malepatan,,,1R,0,HAAT,NO,,,,,,1.5,CRORE,2,CRORE,1,ACTIVE,,2024-08-20T09:27:17.000Z,2024-08-20T09:27:17.000Z,,,,,,,
27,pending,3,3,173,HOUSE,,38,,,,Fulbari /Parsyang/Malepatan,,,1R,0,HAAT,NO,,,,,,1.5,CRORE,2,CRORE,1,ACTIVE,,2024-08-20T09:27:18.000Z,2024-08-20T09:27:18.000Z,,,,,,,
