id,name,province_id,status,created_at,updated_at
1,Bhojpur,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
2,Dhankuta,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
3,Ilam,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
4,Jhapa,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
5,Khotang,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
6,Morang,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
7,Okhaldhunga,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
8,Panchthar,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
9,Sankhuwasabha,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
10,Solukhumbu,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
11,Sunsari,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
12,Taplejung,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
13,Terhathum,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
14,Udayapur,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
15,Saptari,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
16,Siraha,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
17,Dhanusha,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
18,Mahottari,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
19,Sarlahi,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
20,Bara,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
21,Parsa,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
22,Rautahat,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
23,Sindhuli,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
24,Ramechhap,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
25,Dolakha,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
26,Bhaktapur,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
27,Dhading,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
