id,name,district_id,status,created_at,updated_at
1,Aamargadhi,75,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
2,Aathabis,67,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
3,Aathabiskot,59,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
4,Arjundhara,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
5,Aurahi,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
6,Badimalika,73,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
7,Bagchaur,60,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
8,Baglung,36,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
9,Bagmati,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
10,Bahudarmai,21,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
11,Balara,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
12,Balawa,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
13,Banepa,29,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
14,Bangad Kupinde,60,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
15,Banganga,47,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
16,Bansgadhi,58,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
17,Barahachhetra,11,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
18,Barahathawa,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
19,Barbardiya,58,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
20,Bardghat,48,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
21,Bardibas,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
22,Barhabise,33,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
23,Baudhimai,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
24,Bedkot,74,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
25,Belaka,14,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
26,Belauri,74,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
27,Belbaari,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
28,Belkotgadhi,31,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
29,Beni,42,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
30,Besishahar,39,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
31,Bhadrapur,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
32,Bhajani,69,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
33,Bhaktapur,26,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
34,Bhangaha,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
35,Bhanu,46,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
36,Bharatpur,34,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
37,Bheemdatta,74,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
38,Bheerkot,45,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
39,Bheri,68,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
40,Bheriganga,66,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
41,Bhimad,46,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
42,Bhimeshwar,25,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
43,Bhojpur,1,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
44,Bhumikasthan,50,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
45,Bideha,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
46,Bidur,31,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
47,Biratnagar,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
48,Birendranagar,66,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
49,Birgunj,21,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
50,Birtamod,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
51,Bode Barsain,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
52,Brindaban,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
53,Buddhabhumi,47,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
54,Budhanilkantha,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
55,Budhiganga,73,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
56,Budhinanda,73,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
