table,id,address,city,ward_num,property_type,latitude,longitude
sellers,1656,"Fulbari chapapani","","",LAND,,
sellers,1389,"Hawelimarga","","14",LAND,28.192635, 84.007024
sellers,233,"Phursekhola","","22",LAND,28.198616, 83.896581
sellers,829,"Ram Mandir bata 600m Bhitra","Birauta","17",LAND,28.190614, 83.970250
sellers,830,"Madhya Path","Lamachour","19",HOUSE,28.258124, 83.976753
sellers,1068,"Aarghauchowk","Lekhnath","26",LAND,28.162826, 84.057062
sellers,1069,"Aarghauchowk","Lekhnath","26",LAND,28.162826, 84.057062
sellers,1133,"Bhandardik","Lekhnath","29",HOUSE,28.151923, 84.063026
sellers,1169,"Kharanefat","Lekhnath","26",LAND,28.187489, 84.053972
sellers,966,"Kharanefat","Lekhnath","30",LAND,28.187489, 84.053972
sellers,1031,"Khudi/Malepatan","Lekhnath","30",LAND,28.148685, 84.082968
sellers,747,"Kimbesi","Lekhnath","28",LAND,,
sellers,1020,"Lekhnath rithepani/Ghaleni dhara /Golpatan","Lekhnath","27",LAND,28.161619, 84.045590
sellers,1076,"MaidiTal","Lekhnath","27",LAND,28.177637, 84.080655
sellers,742,"Naharchowk","Lekhnath","27",LAND,28.164496, 84.088084
sellers,58,"Aarchaley","Pokhara","",RESTAURANT,28.193358, 84.065163
sellers,245,"Aarghauchowk","Pokhara","",LAND,28.162826, 84.057062
sellers,202,"Aarmala","Pokhara","",LAND,28.290726, 84.000723
sellers,468,"Aarmala","Pokhara","",LAND,28.290726, 84.000723
sellers,723,"Aaudhyogik chhetra","Pokhara","10",HOUSE,28.201303, 84.009439
sellers,863,"Aaudhyogik chhetra","Pokhara","14",LAND,28.201303, 84.009439
sellers,1008,"Aaudhyogik chhetra","Pokhara","14",LAND,28.201303, 84.009439
sellers,1079,"Aaudhyogik chhetra","Pokhara","10",HOUSE,28.201303, 84.009439
sellers,1244,"Aaudhyogik chhetra","Pokhara","10",LAND,28.201303, 84.009439
sellers,1245,"Aaudhyogik chhetra","Pokhara","10",LAND,28.201303, 84.009439
sellers,1527,"Aaudhyogik chhetra","Pokhara","14",LAND,28.201303, 84.009439
sellers,1567,"Aaudhyogik chhetra","Pokhara","14",LAND,28.201303, 84.009439
sellers,1688,"aaudhyogik chhetra,chauthe","pokhara","14",LAND,28.201303, 84.009439
sellers,1208,"Amarsingh chowk","Pokhara","10",LAND,28.204954, 84.000935
sellers,1512,"Amarsingh chowk","Pokhara","10",LAND,28.204954, 84.000935
sellers,1140,"Amintara","Pokhara","15",LAND,28.182485, 83.990704
sellers,1249,"Bagale Tole","Pokhara","3",HOUSE,28.222792, 83.981844
sellers,1010,"Bagale Tole","Pokhara","3",LAND,28.222792, 83.981844
sellers,1576,"Bagaletole","Pokhara","2",HOUSE,28.222792, 83.981844
sellers,1612,"baglung bus park pachadi","pokhara","2",LAND,28.232473, 83.983960
sellers,14,"Bajhapatan","Pokhara","",HOUSE,28.215640, 84.017397
sellers,36,"Bajhapatan","pokhara","13",LAND,28.215640, 84.017397
sellers,50,"Bajhapatan","Pokhara","",HOUSE,28.215640, 84.017397
sellers,51,"Bajhapatan","Pokhara","",HOUSE,28.215640, 84.017397
sellers,545,"Bajhapatan","Pokhara","",HOUSE,28.215640, 84.017397
sellers,574,"Bajhapatan","Pokhara","",HOUSE,28.215640, 84.017397
sellers,715,"Bajhapatan","Pokhara","12",LAND,28.215640, 84.017397
sellers,1492,"Bajhapatan","Pokhara","13",HOUSE,28.215640, 84.017397
sellers,74,"baral petrol pump sanga jodiyeko","Pokhara","",SHOP,28.213055, 83.970432
sellers,294,"Bhandardik","Pokhara","",LAND,28.151963, 84.063011
sellers,462,"Bhandardik","Pokhara","",LAND,28.151963, 84.063011
sellers,595,"Bhandardik","Pokhara","",LAND,28.151963, 84.063011
sellers,636,"Bhandardik","Pokhara","29",LAND,28.151963, 84.063011
sellers,1469,"Bhandardik","Pokhara","29",LAND,28.151963, 84.063011
sellers,1595,"bhandari dahar","pokhara","19",LAND,28.262974, 83.968170
sellers,1629,"bhotechautara","pokhara","14",LAND,28.173827, 84.027865
sellers,1625,"Birauta (himalayan eye hospital area)","pokhara","17",LAND,,28.191080, 83.976526
sellers,1201,"Buddhachowk","Pokhara","10",LAND,28.206000, 83.994771
sellers,1332,"Buddhachowk","Pokhara","10",LAND,28.206000, 83.994771
sellers,1333,"Buddhachowk","Pokhara","10",LAND,28.206000, 83.994771
sellers,1334,"Buddhachowk","Pokhara","10",HOUSE,28.206000, 83.994771
sellers,1392,"Buddhachowk","Pokhara","10",LAND,28.206000, 83.994771
sellers,1481,"Buddhachowk","Pokhara","10",HOUSE,28.206000, 83.994771
sellers,940,"buddhachowk","Pokhara","10",LAND,28.206000, 83.994771
sellers,119,"Budibajar","Pokhara","26",LAND,28.185004, 84.037600
sellers,524,"budibajar","pokhara","",LAND,28.185004, 84.037600
sellers,672,"Budibajar","Pokhara","26",LAND,28.185004, 84.037600
sellers,673,"Budibajar","Pokhara","23",LAND,28.185004, 84.037600
sellers,864,"Budibajar","Pokhara","26",LAND,28.185004, 84.037600
sellers,903,"Budibajar","Pokhara","26",LAND,28.185004, 84.037600
sellers,1672,"Budibajar","Pokhara","26",LAND,28.185004, 84.037600
sellers,1091,"Budibajar","Pokhara","26",LAND,28.185004, 84.037600
sellers,1483,"Budibajar","Pokhara","27",LAND,28.185004, 84.037600
sellers,1077,"Chalise chowk","Pokhara","0",LAND,,
sellers,1700,"Chauthe","pokhara","14",LAND,28.193794, 84.022316
sellers,1686,"chauthe aaudhyogik chhetra","pokhara","11",LAND,28.201303, 84.009439
sellers,1696,"chauthe BP marga","pokhara","14",LAND,28.199581, 84.017408
sellers,1678,"chauthe khasibajar","pokhara","14",LAND,28.198611, 84.015064
sellers,1684,"chauthe kudahar","pokhara","14",LAND,28.204227, 84.003048
sellers,1682,"chauthe kudahar","pokhara","14",LAND,28.204227, 84.003048
sellers,1680,"chauthe kudahar","Pokhara","14",LAND,28.204227, 84.003048
sellers,1689,"chauthe, Aaudhyogik chhetra","pokhara","14",LAND,28.201303, 84.009439
sellers,1677,"chauthe, kudahar","pokhara","14",LAND,28.204227, 84.003048
sellers,1234,"Chauthe/Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1082,"Chinedada","Pokhara","14",HOUSE,28.173189, 84.015385
sellers,1085,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1102,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1207,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1279,"Chinedada","Pokhara","14",HOUSE,28.173189, 84.015385
sellers,1366,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1532,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,552,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,732,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,743,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,795,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1004,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1037,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1038,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1040,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1041,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1042,"Chinedada","Pokhara","14",LAND,28.173189, 84.015385
sellers,1594,"CTEVT area","pokhara","11",LAND,28.222002, 84.000902
sellers,1596,"depang tal","pokhara","26",LAND,28.179870, 84.071798
sellers,1266,"Dhikalthar","Pokhara","12",LAND,28.288055, 83.972248
sellers,1275,"Dhikalthar","Pokhara","13",HOUSE,28.288055, 83.972248
sellers,41,"Dhikalthar","Pokhara","",LAND,28.288055, 83.972248
sellers,63,"Dhikalthar","Pokhara","",HOUSE,28.288055, 83.972248
sellers,984,"Dhikalthar","Pokhara","12",LAND,28.288055, 83.972248
sellers,985,"Dhikalthar","Pokhara","12",HOUSE,28.288055, 83.972248
sellers,1363,"Dhikidada","Pokhara","16",LAND,28.288055, 83.972248
sellers,1353,"Dikopatan","Pokhara","6",LAND,28.214789, 83.960577
sellers,951,"Dovilla","Pokhara","17",LAND,28.163225, 84.004580
sellers,657,"Duikulo muhan","Pokhara","13",HOUSE,28.764031, 83.716627
sellers,714,"Duikulo muhan","Pokhara","13",LAND,28.764031, 83.716627
sellers,784,"Duikulo muhan","Pokhara","13",LAND,28.764031, 83.716627
sellers,1414,"Duikulo muhan","Pokhara","14",LAND,28.764031, 83.716627
sellers,1417,"Duikulo muhan","Pokhara","14",LAND,28.764031, 83.716627
sellers,1418,"Duikulo muhan","Pokhara","14",LAND,28.764031, 83.716627
sellers,1419,"Duikulo muhan","Pokhara","14",LAND,28.764031, 83.716627
sellers,1432,"Duikulo muhan","Pokhara","13",HOUSE,28.764031, 83.716627
sellers,249,"Dumre","Pokhara","",LAND,,
sellers,99,"Fishtal","Pokhara","",HOUSE,28.225747, 83.990846
sellers,365,"Fulbari hotel","Pokhara","",HOUSE,28.176868, 84.000012
sellers,1227,"Fulbari Resort","Pokhara","15",LAND,28.176924, 84.000913
sellers,1067,"Gaudamukh","Pokhara","13",LAND,28.214491, 84.008186
sellers,1255,"Gaudamukh","Pokhara","13",HOUSE,28.214491, 84.008186
sellers,111,"Gaudamukh","Pokhara","",HOUSE,28.214491, 84.008186
sellers,757,"Gaudamukh","Pokhara","12",HOUSE,28.214491, 84.008186
sellers,851,"Gaudamukh","Pokhara","13",HOUSE,28.214491, 84.008186
