id,verification_status,owner_id,created_by,customer_id,property_type,category,address,district_id,municipal_id,province_id,city,rent_amount,property_area,area_unit,property_face,parking_space,car_parking,bike_parking,kitchen,living_room,bedroom,layout,service_amount,service_amount_day,road_size,build_date,stay_period,road_type,rental_purpose,remarks,delete,owner_agreement,owner_image,status,created_at,updated_at,ward_num,map_url,amenities,share_map_url,verification_note,latitude,longitude,is_vectorized_complete,last_vectorized_at,vector_version,vectorization_error_message
1,pending,3,3,3,LAND,RESIDENTIAL,Aarchalbot Near Barpatan school,38,,,,13000,,,WEST,YES,,1,,,,,,,,2072,,,rent,t,1,,,COMPLETE,2024-08-09T11:11:11.000Z,2024-09-29T07:08:51.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
2,pending,3,3,24,HOUSE,RESIDENTIAL,akha hospital chowk bata 200m agadi then right,38,,,,1,,,WEST,YES,,,,,,1R,,,,2073,,,self,f,1,,,ACTIVE,2024-08-09T12:21:48.000Z,2024-08-09T12:21:48.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
3,pending,3,3,52,FLAT,TOURISM,Ranioauwa near telecom,38,,,,18000,,,SOUTH,NO,,,,,,2BHK,,,,2079,,,self,ss,1,,,COMPLETE,2024-08-12T10:07:44.000Z,2024-09-29T07:08:46.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
4,pending,3,3,106,ROOM,RESIDENTIAL,fulbarri near bhaskar school,38,,,,6500,,,WEST,YES,,2,,,,1R,,,,2081,,,self,f,1,,,COMPLETE,2024-08-15T08:30:00.000Z,2024-09-29T07:09:11.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
5,pending,3,3,183,FLAT,RESIDENTIAL,Chauthe Kandipur Boarding Paxadi,38,,,,16000,,,WEST,YES,,,,,,1R,,,,2080,,,cc,sss,1,,,ACTIVE,2024-08-23T08:36:24.000Z,2024-08-23T08:36:24.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
6,pending,3,3,106,FLAT,RESIDENTIAL,Bhanuchowk,38,,,,10000,,,NORTH-WEST,YES,,,,,,1R,,,,2078\,,,w,q,1,,,ACTIVE,2024-08-23T08:37:44.000Z,2024-08-23T08:37:44.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
7,pending,3,3,185,FLAT,RESIDENTIAL,Nayabajar,38,,,,60000,1,ROPANI,EAST,YES,,,,,,1R,,,,2067,,,whole house,bunglow,1,,,ACTIVE,2024-08-23T08:43:24.000Z,2024-08-23T08:43:24.000Z,,,,,,28.2946508,83.8221216,1,2026-03-01T20:02:50.000Z,0,
8,pending,3,3,186,FLAT,RESIDENTIAL,fulbari near growing buds,38,,,,14000,,,SOUTH,YES,,3,,,,1R,,,,2067,,,d,w,1,,,COMPLETE,2024-08-23T08:48:28.000Z,2024-09-29T07:09:20.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
9,pending,3,3,187,FLAT,SEMI_COMMERCIAL,Purandhara chowk,38,,,,0,,,NORTH,YES,,,,,,1R,,,,2068,,,rr,rrr,1,,,ACTIVE,2024-08-23T08:56:48.000Z,2024-08-23T08:56:48.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
10,pending,3,3,188,FLAT,TOURISM,Lakeside street no 13 near Kuti resort,38,,,,30000,,,SOUTH,YES,,,,,,WHOLE_HOUSE,,,,2076,,,x,x,1,,,ACTIVE,2024-08-23T09:01:32.000Z,2024-08-23T09:01:32.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
11,pending,3,3,189,OFFICE_SPACE,COMMERCIAL,newroad,38,,,,130000,,,NORTH-EAST,YES,,,,,,1R,,,,2067,,,s,2200 SQ,1,,,ACTIVE,2024-08-23T09:03:49.000Z,2024-08-23T09:03:49.000Z,,,,,,28.2208486,83.9869155,1,2026-03-01T20:02:50.000Z,0,
12,pending,3,3,190,FLAT,TOURISM,Ranipauwa,38,224,,,17000,,,NORTH-EAST,NO,,,,,,1BHK,,,,2076,,,Z,ATTACHED TOILET,1,,,ACTIVE,2024-08-23T09:05:30.000Z,2025-01-29T08:10:45.000Z,14,,,,,28.2086393,84.0006130,1,2026-03-01T20:02:50.000Z,0,
13,pending,3,3,192,FLAT,RESIDENTIAL,Begnastal,38,,,,0,,,EAST,NO,,,,,,1R,,,,2064,,,KI,I,1,,,ACTIVE,2024-08-23T09:06:33.000Z,2024-08-23T09:06:33.000Z,,,,,,28.1644260,84.0890570,1,2026-03-01T20:02:50.000Z,0,
14,pending,3,3,193,ROOM,RESIDENTIAL,Nayabajar,38,,,,2000,,,SOUTH,NO,,,,,,1R,,,,2075,,,UU,TIN KO GHAR  mATHILLO taLA MA,1,,,ACTIVE,2024-08-23T09:08:00.000Z,2024-08-23T09:08:00.000Z,,,,,,28.2946508,83.8221216,1,2026-03-01T20:02:50.000Z,0,
15,pending,3,3,194,SHUTTER,COMMERCIAL,Nayabajar,38,,,,42000,,,NORTH-EAST,NO,,,,,,1R,,,,2069,,,a,woekshop hotel lai nadini 1=21k 2=42k,1,,,ACTIVE,2024-08-23T09:09:55.000Z,2024-08-23T09:09:55.000Z,,,,,,28.2946508,83.8221216,1,2026-03-01T20:02:50.000Z,0,
16,pending,3,3,195,HOUSE,COMMERCIAL,lakeside,38,,,,180000,,,EAST,YES,,,,,,1R,,,,2072,,,1.5 ropani land =5 ota shutter,pub /restaurant/club,1,,,ACTIVE,2024-08-23T09:11:39.000Z,2024-08-23T09:11:39.000Z,,,,,,28.2210594,83.9583140,1,2026-03-01T20:02:50.000Z,0,
17,pending,3,3,196,FLAT,RESIDENTIAL,Parsyang,38,,,,22000,,,EAST,NO,,,,,,1R,,,,2079,,,self,18000 for 1bhk and 22000for 2 bhk,1,,,ACTIVE,2024-08-23T09:19:36.000Z,2024-08-23T09:19:36.000Z,,,,,,28.2268332,83.9797692,1,2026-03-01T20:02:50.000Z,0,
18,pending,3,3,197,SHUTTER,RESIDENTIAL,lovely dada  housing,38,,,,4000,,,ANY,NO,,,,,,1R,,,,2059,,,x,c,1,,,ACTIVE,2024-08-23T09:20:58.000Z,2024-08-23T09:20:58.000Z,,,,,,28.1116213,84.2212189,1,2026-03-01T20:02:50.000Z,0,
19,pending,3,3,198,FLAT,RESIDENTIAL,nayatalchowk,38,,,,15000,,,NORTH-WEST,NO,,,,,,1R,,,,2079,,,d,xd,1,,,ACTIVE,2024-08-23T09:24:14.000Z,2024-08-23T09:24:14.000Z,,,,,,28.3448382,83.9716957,1,2026-03-01T20:02:50.000Z,0,
