id,verification_status,owner_id,created_by,customer_id,property_type,category,property_area,area_unit,seeking_address,district_id,municipal_id,province_id,city,layout,rent_amount,stay_period,service_amount,service_charge,family_member_adult,family_member_children,compound,furnished,commode_compulsory,parking_space,car_parking,bike_parking,road_size,road_type,renting_purpose,delete,remarks,tenant_agreement,status,created_at,updated_at,ward_num,map_url,amenities,share_map_url,verification_note
2,pending,3,3,14,ROOM,TOURISM,,,"Uttamchowk,Buddhachowk",38,,,,1BHK,15000,,,,2,1,YES,YES,NO,YES,,1,,,self,1,,,ACTIVE,2024-08-09T10:21:05.000Z,2024-08-11T06:59:39.000Z,,,,,
3,pending,3,3,8,FLAT,RESIDENTIAL,,,Ranipauwa fulbari gairapatan,38,,,,2BHK,15000,,,,1,1,NO,NO,NO,YES,,1,,,self,1,,,ACTIVE,2024-08-09T10:24:26.000Z,2024-08-09T10:24:26.000Z,,,,,
4,pending,3,3,16,FLAT,RESIDENTIAL,,,"Puranodhara ,Matepani,Bhadrakali",38,,,,2BHK,20000,,,,2,2,NO,NO,NO,YES,0,1,,,self,1,,,ACTIVE,2024-08-09T10:29:23.000Z,2024-08-09T10:29:23.000Z,,,,,
5,pending,3,3,17,FLAT,TOURISM,,,Ranipauwa,38,,,,2BHK,20000,,,,4,0,YES,YES,YES,YES,1,0,,,suv car,1,,,ACTIVE,2024-08-09T10:32:23.000Z,2024-08-11T07:03:53.000Z,,,,,
6,pending,3,3,18,ROOM,RESIDENTIAL,,,chhorepatan/birauta,38,,,,1R,5000,,,,1,1,NO,NO,NO,NO,,,,,self,1,,,ACTIVE,2024-08-09T10:35:47.000Z,2024-08-09T10:35:47.000Z,,,,,
7,pending,3,3,19,HOUSE,TOURISM,,,Amarsingh to Buddhachowk,38,,,,WHOLE_HOUSE,50000,,,,1,1,NO,NO,NO,NO,,,,,hostel,1,,,ACTIVE,2024-08-09T10:38:21.000Z,2024-08-11T07:06:34.000Z,,,,,
8,pending,3,3,20,ROOM,TOURISM,,,Ranipauwa Matepani,38,,,,2R,13000,,,,2,1,NO,NO,NO,NO,,,,,self,1,,,ACTIVE,2024-08-09T10:41:08.000Z,2024-08-11T07:11:04.000Z,,,,,
9,pending,3,3,23,HOUSE,TOURISM,,,"Puranodhara ,Matepani,Bhadrakali/pokhara valley",38,,,,2BHK,16000,,,,2,2,YES,YES,NO,YES,1,,,,gharbeti navayeko ghar payea ni ramro,1,,,ACTIVE,2024-08-09T12:10:51.000Z,2024-08-11T06:58:09.000Z,,,,,
10,pending,3,3,25,FLAT,RESIDENTIAL,,,Manipal/Chapapani Area,38,,,,2BHK,20000,,,,2,0,YES,NO,NO,YES,1,,,,self,1,,,ACTIVE,2024-08-11T06:57:30.000Z,2024-08-11T06:57:30.000Z,,,,,
11,pending,3,3,26,FLAT,RESIDENTIAL,,,Lamachaur /Batulechaur/Amardeep,38,,,,2BHK,15000,,,,2,2,NO,NO,NO,YES,,1,,,self,1,,,ACTIVE,2024-08-11T07:09:56.000Z,2024-08-11T07:09:56.000Z,,,,,
